coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3,liquidity_ratio_lag1,price_lag1,24h_volume_lag1,mkt_cap_lag1,price_ret_1d,vol_chg_1d,mcap_chg_1d,log_price,log_vol,log_mcap
Akash Network,AKT,1.09,0.016,-0.001,0.019,1755865.0,145104697.0,2022-03-16,coin_gecko_2022-03-16.csv,0.012100676520485,1.09,1.09,,0.012100676520485,,,,,,,,0.7371640659767197,14.37847274047047,18.792966095000843
Akash Network,AKT,1.14,0.013,0.039,0.005,1488453.0,150977820.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0098587527624918,1.115,1.115,0.03535533905932725,0.0109797146414884,0.012100676520485,1.09,1755865.0,145104697.0,0.04587155963302736,-0.15229644648079438,0.040475071596062805,0.76080582903376,14.21324855536622,18.832643503196458
Alchemix,ALCX,95.14,0.0279999999999999,-0.042,-0.125,8581305.0,111651916.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0768576600154358,95.14,95.14,,0.0768576600154358,,,,,,,,4.565805462465814,15.965096674332916,18.530896705829868
Alchemix,ALCX,96.93,-0.001,0.023,-0.144,6978992.0,114928689.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0607245419809844,96.035,96.035,1.2657211383239295,0.06879110099821009,0.0768576600154358,95.14,8581305.0,111651916.0,0.018814378810174545,-0.18672136697157368,0.02934811257515724,4.584252937732703,15.758415194989759,18.559822407037572
Alchemix USD,ALUSD,0.997171,-0.001,-0.001,0.0,3032734.0,208898318.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0145177521247442,0.997171,0.997171,,0.0145177521247442,,,,,,,,0.6917316792104363,14.924975410614834,19.15735817958202
Alchemix USD,ALUSD,0.998794,-0.0,0.0,0.001,142769.0,208931720.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0006833285055998,0.9979825,0.9979825,0.0011476343058657171,0.007600540315172,0.0145177521247442,0.997171,3032734.0,208898318.0,0.001627604493110941,-0.9529239953124804,0.00015989597388716168,0.6925439986823269,11.868990222783266,19.157518062773143
Alchemy Pay,ACH,0.040564968565,0.018,0.035,-0.003,9350241.0,166194387.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0562608711929603,0.040564968565,0.040564968565,,0.0562608711929603,,,,,,,,0.03976380465719722,16.050912783282868,18.92866867326919
Alchemy Pay,ACH,0.040004817834,0.005,-0.013,-0.045,6824925.0,164599197.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0414639021598629,0.0402848931995,0.0402848931995,0.00039608638037670336,0.0488623866764116,0.0562608711929603,0.040564968565,9350241.0,166194387.0,-0.013808730804325202,-0.270080311298928,-0.009598338600930007,0.03922534567524345,15.736092056485674,18.91902397377739
Algorand,ALGO,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0314150851698228,0.731009,0.731009,,0.0314150851698228,,,,,,,,0.5487044754873149,18.836572373147494,22.29703944876852
Algorand,ALGO,0.755697,0.013,0.034,-0.017,138333415.0,5010872275.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0276066535741025,0.7433529999999999,0.7433529999999999,0.017457052213933476,0.02951086937196265,0.0314150851698228,0.731009,151572159.0,4824820884.0,0.03377249801302026,-0.08734284770595634,0.03856130527393895,0.5628659290713973,18.745177387117046,22.33487584387435
