coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3
Alpha Finance,ALPHA,0.280024,0.003,0.004,-0.003,5728562.0,125007857.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0458256155851067,0.279659,0.279659,0.0005161879502661856,0.05268310080496445
Alpine F1 Team Fan Token,ALPINE,8.76,0.003,0.049,1.7180000000000002,153521893.0,99922202.0,2022-03-16,coin_gecko_2022-03-16.csv,1.5364142295422991,8.76,8.76,,1.5364142295422991
Alpine F1 Team Fan Token,ALPINE,10.0,0.002,0.142,0.953,226663985.0,114038968.0,2022-03-17,coin_gecko_2022-03-17.csv,1.9876011592809224,9.379999999999999,9.379999999999999,0.8768124086713197,1.7620076944116108
Amp,AMP,0.025036137658,0.018,0.0069999999999999,0.003,8084731.0,1198878147.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0067435802547829,0.025036137658,0.025036137658,,0.0067435802547829
Amp,AMP,0.025125131288,-0.002,0.005,-0.033,6754386.0,1207186380.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0055951476192102,0.025080634473,0.025080634473,6.292799925540593e-05,0.00616936393699655
Ampleforth,AMPL,1.12,0.019,0.146,0.235,9846521.0,91484573.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1076303979688466,1.12,1.12,,0.1076303979688466
Ampleforth,AMPL,1.07,0.0,-0.049,0.104,1359111.0,88008725.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0154429120521857,1.0950000000000002,1.0950000000000002,0.03535533905932749,0.06153665501051615
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684.0,807556039.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1331495014676003,3.1,3.1,,0.1331495014676003
Anchor Protocol,ANC,2.85,-0.005,-0.083,-0.335,77859396.0,754479150.0,2022-03-17,coin_gecko_2022-03-17.csv,0.103196219537677,2.975,2.975,0.1767766952966369,0.11817286050263864
Ankr,ANKR,0.072181812557,0.023,0.016,-0.064,40789205.0,587511707.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0694270505830107,0.072181812557,0.072181812557,,0.0694270505830107
Ankr,ANKR,0.072733294373,0.001,0.0069999999999999,-0.05,21277459.0,594634282.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0357824290392998,0.07245755346499999,0.07245755346499999,0.0003899565317946741,0.05260473981115525
Ankr Reward-Bearing Staked ETH,AETHC,2196.39,0.021,0.002,-0.02,1309490.0,116894099.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0112023618916811,2196.39,2196.39,,0.0112023618916811
Ankr Reward-Bearing Staked ETH,AETHC,2254.71,0.005,0.027,-0.035,103476.0,120703323.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0008572754869391,2225.55,2225.55,41.23846747879941,0.0060298186893101
ApeCoin,APE,7.72,0.05,-0.255,0.0,1129583103.0,794922002.0,2022-03-17,coin_gecko_2022-03-17.csv,1.4209986642186312,7.72,7.72,,1.4209986642186312
Aragon,ANT,4.62,0.027,0.05,0.051,31404911.0,176410722.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1780215547216002,4.62,4.62,,0.1780215547216002
Aragon,ANT,4.6,0.005,-0.0069999999999999,-0.032,20342438.0,174947342.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1162774910864321,4.609999999999999,4.609999999999999,0.014142135623730963,0.14714952290401614
Ardor,ARDR,0.192938,0.0139999999999999,0.02,-0.011,6272018.0,191059042.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0328276428811989,0.192938,0.192938,,0.0328276428811989
Ardor,ARDR,0.194427,-0.004,0.008,-0.043,5019344.0,194331101.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0258288250010995,0.19368249999999998,0.19368249999999998,0.0010528819971867723,0.029328233941149202
Ark,ARK,0.834377,0.0069999999999999,0.017,-0.0279999999999999,2749604.0,137522294.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0199938782289364,0.834377,0.834377,,0.0199938782289364
Ark,ARK,0.855048,0.008,0.024,-0.053,2191914.0,139681382.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0156922416474945,0.8447125,0.8447125,0.01461660427390716,0.01784305993821545
Arweave,AR,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0309192223954306,32.52,32.52,,0.0309192223954306
Arweave,AR,33.62,0.016,0.034,-0.107,39217699.0,1683869236.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0232902283393221,33.07,33.07,0.7778174593051983,0.02710472536737635
AscendEx Token,ASD,0.210282,0.006,-0.012,-0.03,2234800.0,154656421.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0144500951564112,0.210282,0.210282,,0.0144500951564112
AscendEx Token,ASD,0.209002,-0.002,-0.001,-0.047,1996023.0,155507488.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0128355426846069,0.209642,0.209642,0.0009050966799187831,0.01364281892050905
Astar,ASTR,0.10323,0.009,0.0069999999999999,0.032,7991761.0,205235595.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0389394490755855,0.10323,0.10323,,0.0389394490755855
Astar,ASTR,0.107755,-0.001,0.044,0.027,8916820.0,218062741.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0408910754726319,0.1054925,0.1054925,0.0031996581848691284,0.0399152622741087
Astroport,ASTRO,2.02,0.034,-0.001,0.396,5991169.0,249658255.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0239974800753133,2.02,2.02,,0.0239974800753133
Astroport,ASTRO,1.81,-0.002,-0.104,0.095,8759702.0,227045274.0,2022-03-17,coin_gecko_2022-03-17.csv,0.038581300749735,1.915,1.915,0.14849242404917495,0.031289390412524154
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768.0,447883958.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0176603065564585,0.735289,0.735289,,0.0176603065564585
Audius,AUDIO,0.743362,0.001,0.01,-0.046,6575647.0,457745959.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0143652759149753,0.7393255,0.7393255,0.0057084730445189965,0.016012791235716903
Augur,REP,13.43,0.019,0.02,-0.015,7904878.0,93213520.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0848039855162641,13.43,13.43,,0.0848039855162641
Augur,REP,13.56,0.001,0.01,-0.0409999999999999,5896456.0,94396497.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0624647755731867,13.495000000000001,13.495000000000001,0.0919238815542511,0.0736343805447254
Aurora,AURORA,6.85,-0.001,-0.02,-0.059,1292731.0,155499279.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0083134211831297,6.85,6.85,,0.0083134211831297
Aurora,AURORA,7.35,-0.001,0.072,-0.069,1298850.0,167615843.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0077489691711302,7.1,7.1,0.3535533905932738,0.008031195177129951
Aurory,AURY,8.02,0.006,0.002,-0.008,1527291.0,76264310.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0200262875255804,8.02,8.02,,0.0200262875255804
Aurory,AURY,8.09,-0.001,0.008,0.004,1438567.0,76843664.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0187206976491907,8.055,8.055,0.049497474683058526,0.01937349258738555
Automata,ATA,0.367835,0.031,0.0409999999999999,0.035,10518480.0,83514063.0,2022-03-16,coin_gecko_2022-03-16.csv,0.125948608200274,0.367835,0.367835,,0.125948608200274
Automata,ATA,0.368096,0.004,0.004,-0.003,3784037.0,83651315.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0452358340093039,0.3679655,0.3679655,0.0001845548698896576,0.08559222110478895
Avalanche,AVAX,73.69,0.034,0.032,0.011,866838890.0,19563622731.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0443087101974436,73.69,73.69,,0.0443087101974436
Avalanche,AVAX,79.78,0.002,0.083,0.027,1386901493.0,21282040395.0,2022-03-17,coin_gecko_2022-03-17.csv,0.065167693851659,76.735,76.735,4.306280297426077,0.054738202024551305
Avalaunch,XAVA,3.78,0.0289999999999999,0.032,-0.022,709787.0,84389747.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0084108203334227,3.78,3.78,,0.0084108203334227
Avalaunch,XAVA,3.92,-0.002,0.034,-0.024,1323970.0,86912829.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0152333092275709,3.8499999999999996,3.8499999999999996,0.0989949493661169,0.0118220647804968
Axie Infinity,AXS,50.46,0.036,0.062,0.089,288996469.0,3733676299.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0774026578247832,50.46,50.46,,0.0774026578247832
Axie Infinity,AXS,50.9,0.006,0.01,0.044,229754416.0,3771229668.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0609229445635555,50.68,50.68,0.3111269837220793,0.06916280119416934
BENQI,QI,0.049616183289,0.036,0.011,-0.023,9851172.0,77090931.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1277863929286312,0.049616183289,0.049616183289,,0.1277863929286312
BENQI,QI,0.050743317046,0.0,0.024,-0.048,8530801.0,79411049.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1074258696670786,0.050179750167499995,0.050179750167499995,0.0007970039228789726,0.1176061312978549
BENQI Liquid Staked AVAX,SAVAX,73.3,0.035,0.036,0.003,232010.0,108588792.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0021365925131573,73.3,73.3,,0.0021365925131573
BENQI Liquid Staked AVAX,SAVAX,79.79,-0.0,0.095,0.0289999999999999,1138158.0,119637582.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0095133818401645,76.545,76.545,4.5891230099007,0.0058249871766609
BNB,BNB,383.43,0.018,0.0279999999999999,0.004,1395853984.0,64043816800.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0217952966226085,383.43,383.43,,0.0217952966226085
BNB,BNB,389.61,0.002,0.016,-0.01,1425353937.0,65561157431.0,2022-03-17,coin_gecko_2022-03-17.csv,0.021740829369892,386.52,386.52,4.369919907732888,0.02176806299625025
BTC Standard Hashrate Token,BTCST,15.38,0.032,0.022,-0.08,10770376.0,110711281.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0972834556940949,15.38,15.38,,0.0972834556940949
BTC Standard Hashrate Token,BTCST,15.08,0.0069999999999999,-0.015,-0.092,3149394.0,109935865.0,2022-03-17,coin_gecko_2022-03-17.csv,0.028647557373565,15.23,15.23,0.21213203435596475,0.06296550653382994
BTSE Token,BTSE,8.42,0.006,0.012,0.127,1644847.0,170044358.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0096730466058744,8.42,8.42,,0.0096730466058744
BTSE Token,BTSE,8.47,0.017,0.0069999999999999,0.088,182389.0,171754643.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0010619159797618,8.445,8.445,0.03535533905932788,0.0053674812928181
Baby Doge Coin,BABYDOGE,2.864e-09,0.026,0.021,-0.039,10651029.0,452640717.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0235308680814059,2.864e-09,2.864e-09,,0.0235308680814059
Baby Doge Coin,BABYDOGE,2.83e-09,0.004,-0.012,-0.071,9830393.0,449901755.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0218500881375757,2.8469999999999998e-09,2.8469999999999998e-09,2.4041630560342534e-11,0.0226904781094908
Badger DAO,BADGER,7.32,0.024,0.027,-0.006,4125819.0,72581913.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0568436243889025,7.32,7.32,,0.0568436243889025
Badger DAO,BADGER,7.24,-0.005,-0.011,-0.074,3893756.0,72193740.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0539348148468274,7.28,7.28,0.05656854249492385,0.05538921961786495
BakerySwap,BAKE,0.548429,0.027,0.033,-0.005,11013168.0,104901896.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1049854046489302,0.548429,0.548429,,0.1049854046489302
BakerySwap,BAKE,0.559948,0.002,0.021,-0.016,15467623.0,107743877.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1435591834141999,0.5541885,0.5541885,0.008145163012487843,0.12427229403156506
Balancer,BAL,11.45,0.0279999999999999,0.022,0.01,24421512.0,123217404.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1981985596774949,11.45,11.45,,0.1981985596774949
Balancer,BAL,11.52,0.0,0.006,-0.038,8895097.0,124477702.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0714593606491867,11.485,11.485,0.049497474683058526,0.13482896016334078
Banana,BANANA,18.71,0.016,-0.141,0.708,550846.0,83416764.0,2022-03-16,coin_gecko_2022-03-16.csv,0.006603540746318,18.71,18.71,,0.006603540746318
Banana,BANANA,15.33,0.002,-0.181,0.3929999999999999,541918.0,68212793.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0079445214917383,17.02,17.02,2.3900209204105303,0.00727403111902815
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403.0,583581643.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0447536404088022,2.29,2.29,,0.0447536404088022
